id,transaction_date,type,category,amount,note,micro_label,micro_probability,risk_label,risk_probability,amount_ratio_vs_category_avg,amount_zscore_vs_category,created_at
feb43dc8-dfdb-48d7-a326-5bf5fac718af,2026-05-17,income,Income,300000.0,uang mingguan,,,,,,,2026-05-31T06:31:22.967690
57054370-a986-4389-8edd-5625d080c92e,2026-05-24,expense,Langganan Digital,50000.0,netflix,0.0,0.0064,0.0,0.3077,0.539,-0.302,2026-05-31T06:31:45.452602
75be96ba-c202-43b8-b7f8-ac6cd8d6a26d,2026-05-07,expense,Elektronik,225000.0,service printer,0.0,0.0044,0.0,0.3744,0.753,-0.161,2026-05-31T06:32:27.521340
fff26c82-1799-43f5-9da8-0d5c340ca192,2026-05-23,expense,Kopi & Minuman,25000.0,nongkrong,1.0,0.9888,0.0,0.0348,0.208,-1.019,2026-05-31T06:33:13.059848
a1045ebb-9c6c-483e-a5b2-f56bfabc54f1,2026-05-13,expense,Tagihan Utilitas,38000.0,kouta,1.0,0.9884,0.0,0.0366,0.106,-0.532,2026-05-31T06:33:44.397260
ba1d6fa2-651a-422c-a11f-b01d9c5fd66f,2026-05-18,expense,Makanan & Minuman,15000.0,roti o,1.0,0.9888,0.0,0.037,0.056,-0.711,2026-05-31T06:35:19.149557
9aeb75d2-6243-44db-b78a-6970902b5058,2026-05-18,expense,Transportasi,5000.0,parkir,1.0,0.9887,0.0,0.0372,0.045,-0.493,2026-05-31T06:35:47.454618
be08e522-424e-44e7-9307-4e6816be6f35,2026-05-20,expense,Langganan Digital,300000.0,chatgpt,0.0,0.0056,1.0,0.5619,2.898,1.457,2026-05-31T06:36:14.715014
5efa0618-da30-47e4-9613-75e58125e731,2026-05-22,expense,Hiburan & Gaya Hidup,45000.0,case hp,1.0,0.9868,0.0,0.0393,0.267,-0.604,2026-05-31T06:36:41.583888
fbbe8f28-5a45-401a-a45d-10b454b86ae2,2026-05-25,expense,Hiburan & Gaya Hidup,60000.0,billiard,0.0,0.0077,0.0,0.2631,0.356,-0.531,2026-05-31T06:36:58.412184
1dd8e5a8-ac57-41f3-8c28-03344a42a610,2026-05-25,expense,Pendidikan,250000.0,beli buku,0.0,0.0074,0.0,0.4114,0.651,-0.228,2026-05-31T06:37:37.126971
8fc0ab03-9353-4b71-b0ed-f7f899cb5a4e,2026-05-28,expense,Kebutuhan Dapur,350000.0,beras,0.0,0.0039,1.0,0.6424,1.579,0.337,2026-05-31T06:38:01.266641
7d21f5b1-a001-4001-9001-111111111111,2026-06-01,income,Income,1500000.0,uang bulanan,,,,,,,2026-06-01T08:00:00
7d21f5b1-a001-4001-9002-111111111112,2026-06-02,expense,Makanan & Minuman,25000.0,mie gacoan,1.0,0.989,0.0,0.034,0.081,-0.65,2026-06-02T08:00:00
7d21f5b1-a001-4001-9003-111111111113,2026-06-02,expense,Kopi & Minuman,18000.0,es kopi susu,1.0,0.9885,0.0,0.038,0.14,-1.0,2026-06-02T08:05:00
7d21f5b1-a001-4001-9004-111111111114,2026-06-03,expense,Transportasi,12000.0,gojek kampus,1.0,0.988,0.0,0.041,0.1,-0.5,2026-06-03T08:00:00
7d21f5b1-a001-4001-9005-111111111115,2026-06-03,expense,Transportasi,100000.0,bensin,0.0,0.009,0.0,0.3,0.85,0.1,2026-06-03T09:00:00
7d21f5b1-a001-4001-9006-111111111116,2026-06-04,expense,Langganan Digital,65000.0,netflix,0.0,0.007,0.0,0.29,0.6,-0.2,2026-06-04T08:00:00
7d21f5b1-a001-4001-9007-111111111117,2026-06-04,expense,Langganan Digital,55000.0,spotify,0.0,0.006,0.0,0.28,0.5,-0.3,2026-06-04T09:00:00
7d21f5b1-a001-4001-9008-111111111118,2026-06-05,expense,Hiburan & Gaya Hidup,50000.0,bioskop,1.0,0.987,0.0,0.04,0.28,-0.6,2026-06-05T08:00:00
7d21f5b1-a001-4001-9009-111111111119,2026-06-05,expense,Hiburan & Gaya Hidup,100000.0,timezone,0.0,0.01,0.0,0.25,0.65,-0.1,2026-06-05T09:00:00
66247b13-665c-432c-9ea9-278726fd5821,2026-05-26,expense,Hobi & Olahraga,35000.0,berenang,0.0,0.0049,0.0,0.3249,0.04,-1.523,2026-05-31T07:59:43.646507
9aeae41f-ade5-4b03-a634-4cfe03bdb5df,2026-05-31,expense,Makanan & Minuman,35000.0,kue,0.0,0.0132,0.0,0.2134,0.122,-0.649,2026-05-31T08:07:55.364766
74720a7f-a620-4cf8-ae8f-5aa30aa13091,2026-05-31,income,Income,400000.0,-,,,,,,,2026-05-31T08:08:43.632573
181a7c31-a7c3-4082-a4aa-d499c38dd986,2026-05-31,income,Income,1500000.0,Freelance Centsaver,,,,,,,2026-05-31T10:04:32.018586
faab206c-a3d9-4f40-a141-326c747b5350,2026-05-28,income,Income,500000.0,freelance,,,,,,,2026-05-31T10:21:31.126581
4b662b81-2918-4a9b-9d0a-15bc300eebc7,2026-05-31,expense,Makanan & Minuman,50000.0,pizza,0.0,0.0129,0.0,0.2369,0.174,-0.61,2026-05-31T10:21:45.223565
d9cdb69a-3790-4807-8a7f-9af6560c2a2c,2026-05-31,expense,Kopi & Minuman,10000.0,kopiku,1.0,0.9864,0.0,0.0392,0.083,-1.179,2026-05-31T10:22:14.226161
395a449a-baf1-4550-8d60-bd5eed9b8670,2026-05-19,income,Income,1000000.0,gaji mingguan,,,,,,,2026-05-31T10:26:11.838138
63b62b93-24fc-4a01-92a2-144ee0353878,2026-05-31,expense,Transportasi,10000.0,gojek,0.0,0.0069,0.0,0.2219,0.101,-0.431,2026-05-31T10:26:26.067407
1ecbaedd-2758-42d9-bd65-99bd80fb618f,2026-05-31,expense,Kopi & Minuman,10000.0,kopi,1.0,0.9864,0.0,0.0392,0.083,-1.179,2026-05-31T10:26:41.527528
4f671df4-d37d-4a02-bdbe-a09742cc33e4,2026-05-31,income,Income,200000.0,jajan,,,,,,,2026-05-31T10:29:41.168025
5e1b400c-ea61-421e-88b3-6abfb863ca70,2026-05-31,expense,Tagihan Utilitas,300000.0,bayar wifi,0.0,0.0085,1.0,0.5767,1.297,0.137,2026-05-31T10:29:57.392780
cba2cc10-0bba-43b1-91be-c5db134b1847,2026-05-31,expense,Kopi & Minuman,15000.0,kopi,1.0,0.9873,0.0,0.0376,0.125,-1.126,2026-05-31T10:30:18.196074
c9f10801-8eee-428f-9621-cf6cd57f3b3d,2026-06-02,income,Income,300000.0,bonus,,,,,,,2026-06-02T06:59:39.885805
6c426afd-9dde-42a4-bd7d-2991478e03fd,2026-06-02,income,Income,500000.0,debug,,,,,,,2026-06-02T08:42:41.051618
96e9ba9b-efdc-4320-8887-eb86a7e16826,2026-06-04,expense,Makanan & Minuman,12000.0,kopi,1.0,0.9868,0.0,0.04,0.045,-0.72,2026-06-04T06:15:37.864307
428b64e2-4302-4f42-aa07-00fbfc29873d,2026-06-04,expense,Makanan & Minuman,10000.0,kopi,1.0,0.9868,0.0,0.0402,0.037,-0.726,2026-06-04T13:23:35.192123
a1c52a25-6792-4edf-8d73-bd76ffd02739,2026-06-04,expense,Kebutuhan Dapur,350000.0,beras,0.0,0.0035,1.0,0.6409,1.579,0.337,2026-06-04T13:24:14.933074
